Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita
Italy,2019,615992,615777,1231769,Italy,Italy,33812.788724868,59729081.0,0.010309500660155813,0.010313100246762545
Italy,2020,240096,240438,480534,Italy,Italy,32091.4866621366,59438851.0,0.004045132029890685,0.004039378217455785
Italy,2021,339203,339902,679105,Italy,Italy,36852.5425414951,59133173.0,0.005748076464626716,0.005736255688494849
Italy,2022,556943,557556,1114499,Italy,Italy,35653.9042103495,59013667.0,0.00944791314188288,0.009437525717559628
Italy,2023,616436,616963,1233399,Italy,Italy,39277.0838783918,58984216.0,0.01045979826196215,0.010450863668341375
Italy,2024,665659,666489,1332148,Italy,Italy,40385.3413957669,58952704.0,0.011305486513392159,0.011291407430607425
Latvia,2016,33867,33925,67792,Latvia,Latvia,13838.5266823272,1959537.0,0.01731276316803408,0.017283164339331178
Latvia,2017,37347,37377,74724,Latvia,Latvia,15132.4958333982,1942248.0,0.01924419538596513,0.01922874936671321
Latvia,2018,41725,41758,83483,Latvia,Latvia,17252.1710428626,1927174.0,0.02166799676624944,0.02165087324756353
Latvia,2019,43769,43776,87545,Latvia,Latvia,17294.9751600969,1913822.0,0.02287360057518411,0.022869942972752952
Latvia,2020,17898,17898,35796,Latvia,Latvia,17564.2321549354,1900449.0,0.009417774431200206,0.009417774431200206
Latvia,2021,19516,19514,39030,Latvia,Latvia,20261.8887788916,1884490.0,0.010355056275172593,0.010356117570271002
Latvia,2022,27866,27878,55744,Latvia,Latvia,20221.103686109,1879383.0,0.014833591662795716,0.014827206588545283
Latvia,2023,30820,30847,61667,Latvia,Latvia,22710.2637544197,1883710.0,0.01637566292051324,0.016361329504010702
Latvia,2024,31817,31817,63634,Latvia,Latvia,23409.0845154775,1866124.0,0.017049778042616676,0.017049778042616676
Lithuania,2016,26566,26561,53127,Lithuania,Lithuania,14934.2702840428,2877325.0,0.009231143510031018,0.009232881235175032
Lithuania,2017,27987,28004,55991,Lithuania,Lithuania,16800.1510246099,2842639.0,0.009851409201097994,0.009845428842705669
Lithuania,2018,30872,30907,61779,Lithuania,Lithuania,19247.2315367967,2819200.0,0.010963039160045403,0.010950624290578888
Lithuania,2019,31643,31695,63338,Lithuania,Lithuania,19608.7943945553,2811089.0,0.011274989870473685,0.011256491701258836
Lithuania,2020,15517,15599,31116,Lithuania,Lithuania,20428.6478157394,2810369.0,0.005550516675924051,0.005521339012777325
Lithuania,2021,17385,17395,34780,Lithuania,Lithuania,23870.4594851722,2808380.0,0.006193962355521688,0.006190401583831248
Lithuania,2022,26595,26586,53181,Lithuania,Lithuania,25085.784063499,2831639.0,0.009388908685040713,0.009392087056294959
Lithuania,2023,27557,27562,55119,Lithuania,Lithuania,27786.0057829276,2871585.0,0.009598183581541204,0.009596442382865212
Lithuania,2024,29751,29752,59503,Lithuania,Lithuania,29384.0189598663,2888278.0,0.010300947484972015,0.010300601257912155
Luxembourg,2016,32762,32790,65552,Luxembourg,Luxembourg,106899.293549552,582014.0,0.0563388509554753,0.05629074214709612
Luxembourg,2017,35299,35368,70667,Luxembourg,Luxembourg,110193.213797228,596336.0,0.05930884601969359,0.05919313943816908
